Date,Month,Year,Open,High,Low,Close,Adj Close,Volume
1/3/2020,1,2020,88.099998,90.800003,87.384003,88.601997,88.601997,88892500
1/6/2020,1,2020,88.094002,90.311996,88,90.307999,90.307999,50665000
1/7/2020,1,2020,92.279999,94.325996,90.671997,93.811996,93.811996,89410500
1/8/2020,1,2020,94.739998,99.697998,93.646004,98.428001,98.428001,155721500
1/9/2020,1,2020,99.419998,99.760002,94.573997,96.267998,96.267998,142202000
1/10/2020,1,2020,96.358002,96.987999,94.739998,95.629997,95.629997,64797500
1/13/2020,1,2020,98.699997,105.125999,98.400002,104.972,104.972,132588000
1/14/2020,1,2020,108.851997,109.482002,104.980003,107.584,107.584,144981000
1/15/2020,1,2020,105.952003,107.568001,103.358002,103.699997,103.699997,86844000
1/16/2020,1,2020,98.75,102.891998,98.433998,102.697998,102.697998,108683500
1/17/2020,1,2020,101.522003,103.134003,100.632004,102.099998,102.099998,68145500
1/21/2020,1,2020,106.050003,109.716003,105.681999,109.440002,109.440002,89017500
1/22/2020,1,2020,114.377998,118.900002,111.82,113.912003,113.912003,156845000
1/23/2020,1,2020,112.849998,116.400002,111.120003,114.440002,114.440002,98255000
1/24/2020,1,2020,114.125999,114.772003,110.851997,112.963997,112.963997,71768000
1/27/2020,1,2020,108.398003,112.888,107.856003,111.603996,111.603996,68040500
1/28/2020,1,2020,113.697998,115.362,111.615997,113.379997,113.379997,58942500
1/29/2020,1,2020,115.138,117.959999,113.486,116.197998,116.197998,89007500
1/30/2020,1,2020,126.484001,130.175995,123.599998,128.162003,128.162003,145028500
1/31/2020,1,2020,128,130.600006,126.503998,130.113998,130.113998,78596500
2/3/2020,2,2020,134.738007,157.227997,134.703995,156,156,235325000
2/4/2020,2,2020,176.591995,193.798004,166.776001,177.412003,177.412003,304694000
2/5/2020,2,2020,164.651993,169.195999,140.822006,146.940002,146.940002,242119000
2/6/2020,2,2020,139.983994,159.166,137.399994,149.792007,149.792007,199404000
2/7/2020,2,2020,146.110001,153.949997,146,149.613998,149.613998,85317500
2/10/2020,2,2020,160,163.998001,150.479996,154.255997,154.255997,123446000
2/11/2020,2,2020,153.757996,156.701996,151.600006,154.876007,154.876007,58487500
2/12/2020,2,2020,155.574005,157.949997,152.673996,153.457993,153.457993,60112500
2/13/2020,2,2020,148.367996,163.600006,147,160.800003,160.800003,131446500
2/14/2020,2,2020,157.444,162.593994,157.100006,160.005997,160.005997,78468500
2/18/2020,2,2020,168.320007,172,166.472,171.679993,171.679993,81908500
2/19/2020,2,2020,184.699997,188.955994,180.203995,183.483994,183.483994,127115000
2/20/2020,2,2020,182.389999,182.399994,171.988007,179.882004,179.882004,88174500
2/21/2020,2,2020,181.395996,182.612,176.089996,180.199997,180.199997,71574000
2/24/2020,2,2020,167.800003,172.699997,164.440002,166.757996,166.757996,75961000
2/25/2020,2,2020,169.800003,171.320007,157.399994,159.981995,159.981995,86452500
2/26/2020,2,2020,156.5,162.662003,155.222,155.759995,155.759995,70427500
2/27/2020,2,2020,146,147.953995,133.800003,135.800003,135.800003,121386000
2/28/2020,2,2020,125.940002,138.104004,122.304001,133.598007,133.598007,121114500
3/2/2020,3,2020,142.251999,148.738007,137.334,148.723999,148.723999,100975000
3/3/2020,3,2020,161,161.395996,143.222,149.102005,149.102005,128920000
